#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
131,DRC,"92,711",,"1,405 ",,"83,504",,"7,802",,971,15,"846,704","8,866","95,504,077 ",Africa,"1,03067,974113",,,82
132,Channel Islands,"90,046",,198 ,,"89,443",,405,,"507,705","1,116","1,252,808","7,063,684","177,359 ",Europe,28960,,,"2,284"
133,Senegal,"88,153",,"1,968  ",,"86,048",,137,,"4,978",111,"1,146,543","64,751","17,706,884 ",Africa,"2018,99715",,,8
134,Malawi,"87,927",,"2,679 ",,"84,928",,320,67,"4,351",133,"612,435","30,305","20,208,754 ",Africa,"2307,54333",,,16
135,Ivory Coast,"86,885",,821 ,,"86,031",,33,,"3,125",30,"1,616,357","58,134","27,803,787 ",Africa,"32033,86617",,,1
136,Suriname,"81,057",,"1,384 ",,"49,614",,"30,059",,"135,524","2,314","238,929","399,480","598,100 ",South America,74323,,,"50,257"
137,French Polynesia,"76,520",,649 ,,N/A,N/A,N/A,7,"269,010","2,282",,,"284,450 ",Australia/Oceania,4438,,,"148,958"
138,New Caledonia,"73,989",,314 ,,"73,421",,254,9,"253,834","1,077","98,964","339,515","291,486 ",Australia/Oceania,49283,,,871
139,Eswatini,"73,368",,"1,422 ",,"71,923",,23,11,"61,842","1,199","1,043,970","879,968","1,186,373 ",Africa,168341,,,19
140,Guyana,"71,150",,"1,279 ",,"69,674",,197,,"89,516","1,609","690,131","868,274","794,831 ",South America,116211,,,248
141,Belize,"68,452",,680 ,,"67,626",,146,6,"165,591","1,645","576,016","1,393,430","413,380 ",North America,66081,,,353
142,Fiji,"68,195",,878 ,,"66,202",,"1,115",,"74,889",964,"657,391","721,918","910,617 ",Australia/Oceania,"131,0371",,,"1,224"
143,Madagascar,"66,640",,"1,410 ",,"65,196",,34,2,"2,279",48,"511,408","17,487","29,244,601 ",Africa,"43920,74157",,,1
144,Sudan,"63,270",,"4,961 ",,N/A,N/A,N/A,,"1,373",108,"562,941","12,216","46,083,529 ",Africa,"7289,28982",,,390
145,Mauritania,"62,773",,993 ,,"61,762",,18,,"12,768",202,"955,766","194,404","4,916,383 ",Africa,"784,9515",,,4
146,Cabo Verde,"62,331",,410 ,,"61,858",,63,23,"109,513",720,"401,622","705,636","569,163 ",Africa,"91,3881",,,111
147,Bhutan,"61,233",,21 ,,"61,145",,67,,"77,496",27,"2,303,734","2,915,580","790,146 ",Asia,"1337,6260",,,85
148,Syria,"57,129",,"3,163 ",,"53,681",,285,,"3,100",172,"146,269","7,937","18,428,439 ",Asia,"3235,826126",,,15
149,Burundi,"49,370",,38 ,,"48,578",,754,,"3,899",3,"345,742","27,302","12,663,700 ",Africa,"257333,25537",,,60
150,Gabon,"48,655",,306 ,,"48,219",,130,,"20,790",131,"1,614,691","689,937","2,340,345 ",Africa,"487,6481",,,56
151,Seychelles,"46,175",,169 ,,"45,890",,116,,"463,256","1,696",,,"99,675 ",Africa,2590,,,"1,164"
152,Andorra,"46,113",,155 ,,"45,890",,68,14,"594,738","1,999","249,838","3,222,261","77,535 ",Europe,25000,,,877
153,Curaçao,"45,127",,282 ,,"44,720",,125,3,"272,577","1,703","496,693","3,000,133","165,557 ",North America,45870,,,755
154,Papua New Guinea,"44,900",,664 ,,"43,982",,254,7,"4,819",71,"249,149","26,742","9,316,866 ",Australia/Oceania,"20814,03137",,,27
155,Aruba,"42,914",,227 ,,"42,438",,249,2,"398,255","2,107","177,885","1,650,828","107,755 ",North America,34751,,,"2,311"
156,Mauritius,"40,299",,"1,022 ",,"38,573",,704,,"31,573",801,"358,675","281,012","1,276,371 ",Africa,"321,2494",,,552
157,Mayotte,"40,095",,187 ,,N/A,N/A,N/A,,"139,616",651,"176,919","616,056","287,180 ",Africa,"71,5362",,,"128,644"
158,Tanzania,"39,168",,845 ,,N/A,N/A,N/A,7,617,13,,,"63,447,530 ",Africa,"1,62075,086",,,601
159,Togo,"38,581",,284 ,,"38,141",,156,,"4,433",33,"787,602","90,507","8,702,158 ",Africa,"22630,64111",,,18
160,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"441,876","1,349","150,753","1,752,636","86,015 ",Europe,27421,,,"129,024"
161,Guinea,"37,652",,449 ,,"36,880",,323,8,"2,707",32,"660,107","47,455","13,910,219 ",Africa,"36930,98021",,,23
162,Bahamas,"37,101",,823 ,,"35,923",,355,1,"92,419","2,050","248,846","619,880","401,442 ",North America,114882,,,884
